Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,129,343,183,294,252,215,310,111,183,160,164,210,235,243
1,129,0,470,309,391,180,276,377,136,277,68,247,201,117,366
2,343,470,0,164,220,536,389,326,382,313,498,286,439,563,180
3,183,309,164,0,163,376,293,239,219,222,343,139,287,399,155
4,294,391,220,163,0,382,452,107,262,384,444,145,273,446,309
5,252,180,536,376,382,0,447,320,160,432,241,255,110,111,486
6,215,276,389,293,452,447,0,501,325,76,243,357,423,391,212
7,310,377,326,239,107,320,501,0,240,441,439,147,212,403,393
8,111,136,382,219,262,160,325,240,0,292,200,118,99,188,328
9,183,277,313,222,384,432,76,441,292,0,262,303,391,394,140
10,160,68,498,343,444,241,243,439,200,262,0,303,269,156,372
11,164,247,286,139,145,255,357,147,118,303,303,0,154,304,284
12,210,201,439,287,273,110,423,212,99,391,269,154,0,194,415
13,235,117,563,399,446,111,391,403,188,394,156,304,194,0,477
14,243,366,180,155,309,486,212,393,328,140,372,284,415,477,0
