Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,0,297,271,778,494,77,353,263,316,267,228,122,148,186,50,49,237,406,192,698,876,39,110,123,93,222,277,256,97,438,80,91,538,137,580,627,159,379,806,59,204,182,226,169,120,176,336,215,180,462,261,184,122,673,158,152,90,80
1,297,0,518,561,254,303,622,554,129,135,89,404,149,138,300,343,72,208,106,443,655,275,208,314,378,147,568,95,352,146,334,206,248,183,306,370,268,127,559,275,193,219,150,454,238,469,46,483,376,328,244,186,200,484,166,247,246,242
2,271,518,0,1044,749,222,116,285,574,528,431,157,383,380,311,228,478,668,431,951,1141,266,376,204,273,387,152,441,179,664,315,334,765,401,822,878,257,626,1063,329,344,311,490,281,279,159,545,68,147,733,531,453,320,942,352,422,361,283
3,778,561,1044,0,307,822,1131,965,472,515,646,900,666,689,750,826,574,376,620,165,98,778,669,848,818,707,1044,656,865,448,763,710,383,643,297,216,818,435,107,726,752,775,554,870,777,945,559,993,917,333,534,595,734,123,710,639,691,763
4,494,254,749,307,0,527,844,715,178,228,339,614,367,384,475,543,272,98,319,204,402,487,385,549,550,400,769,349,573,157,496,416,149,357,115,134,514,127,314,449,445,469,270,614,476,668,253,704,616,176,288,317,433,239,406,374,413,466
5,77,303,222,822,527,0,320,297,352,307,221,105,162,172,128,77,257,447,210,730,920,50,160,45,151,194,269,240,49,449,155,112,551,182,603,657,94,405,841,132,162,132,270,218,75,177,336,180,107,518,323,236,104,722,141,219,155,62
6,353,622,116,1131,844,320,0,270,667,619,537,231,481,487,383,305,577,759,530,1048,1228,357,462,311,326,498,119,551,273,769,377,428,871,489,923,975,368,725,1157,405,456,423,578,306,385,194,653,141,260,811,606,536,423,1024,458,496,440,382
7,263,554,285,965,715,297,270,0,544,492,491,206,409,449,254,226,488,619,448,916,1061,295,349,326,176,482,151,519,262,689,224,353,785,376,815,848,388,617,1013,281,458,429,451,102,369,144,596,226,332,632,435,401,383,848,420,341,313,338
8,316,129,574,472,178,352,667,544,0,52,190,437,194,224,299,365,107,97,149,382,569,310,207,377,375,252,592,212,396,168,322,240,249,179,271,311,349,77,490,273,292,310,94,442,306,491,159,527,445,202,147,143,263,379,241,205,237,292
9,267,135,528,515,228,307,619,492,52,0,172,388,155,197,247,316,85,140,116,432,613,263,157,335,323,231,541,201,350,212,270,195,298,130,323,362,314,127,539,221,266,279,42,390,267,440,176,479,404,224,111,91,224,417,209,153,186,249
10,228,89,431,646,339,221,537,491,190,172,0,325,87,50,244,270,87,282,72,531,741,200,163,227,317,63,490,36,270,233,280,139,335,148,395,458,180,212,647,221,106,130,163,394,152,393,115,399,288,390,260,177,117,563,80,224,200,162
11,122,404,157,900,614,105,231,206,437,388,325,0,257,276,155,74,351,528,304,818,997,130,231,122,120,299,165,345,60,549,159,201,650,258,697,746,187,497,927,176,266,234,347,152,180,73,439,95,128,582,378,305,208,794,246,268,210,162
12,148,149,383,666,367,162,481,409,194,155,87,257,0,65,158,194,96,291,48,568,763,128,79,183,233,110,420,121,209,292,194,57,393,70,441,495,159,244,680,134,127,130,127,310,112,321,188,341,251,377,210,116,69,571,60,147,114,100
13,186,138,380,689,384,172,487,449,224,197,50,276,65,0,209,226,118,320,82,579,785,155,142,177,278,45,441,70,220,283,247,102,385,135,444,506,131,256,694,189,69,86,178,355,102,346,166,349,238,420,269,178,68,603,30,212,175,115
14,50,300,311,750,475,128,383,254,299,247,244,155,158,209,0,82,234,383,194,679,848,85,95,173,78,249,295,275,144,435,38,107,533,123,568,609,206,368,783,27,240,221,205,153,162,195,343,250,230,428,223,158,153,641,184,113,62,120
15,49,343,228,826,543,77,305,226,365,316,270,74,194,226,82,0,285,455,240,747,924,71,158,118,75,256,228,296,68,486,94,137,586,186,629,676,171,428,854,101,232,205,275,141,143,127,381,169,159,508,304,231,158,720,196,194,135,112
16,237,72,478,574,272,257,577,488,107,85,87,351,96,118,234,285,0,202,48,473,671,222,139,277,312,148,513,116,305,202,266,150,301,113,346,400,244,148,585,208,186,203,84,387,204,413,118,437,344,304,182,115,161,485,136,175,177,196
17,406,208,668,376,98,447,759,619,97,140,282,528,291,320,383,455,202,0,246,297,473,403,297,473,456,345,679,301,490,176,402,335,218,270,209,230,446,93,400,358,386,406,180,519,403,578,226,619,542,129,191,225,359,283,338,279,322,388
18,192,106,431,620,319,210,530,448,149,116,72,304,48,82,194,240,48,246,0,520,717,175,103,230,272,121,467,108,257,246,228,103,346,82,393,447,200,196,633,169,151,164,97,348,157,367,149,389,297,340,191,106,114,528,93,155,142,148
19,698,443,951,165,204,730,1048,916,382,432,531,818,568,579,679,747,473,297,520,0,235,691,589,749,753,588,974,534,776,310,699,619,229,561,146,73,710,325,118,653,635,661,474,816,675,873,430,907,815,316,483,521,633,196,603,576,618,668
20,876,655,1141,98,402,920,1228,1061,569,613,741,997,763,785,848,924,671,473,717,235,0,876,767,945,915,801,1142,750,963,536,860,808,463,741,378,298,914,529,131,824,847,870,651,967,874,1043,650,1090,1014,428,630,692,831,214,806,736,789,860
