Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,58,73,142,151,34,109,91,161,140,156,194,100,46
1,58,0,42,125,124,26,90,63,131,96,120,168,47,39
2,73,42,0,167,164,45,48,105,92,67,158,208,39,77
3,142,125,167,0,28,135,214,62,249,205,50,56,154,99
4,151,124,164,28,0,138,210,62,240,194,23,45,146,106
5,34,26,45,135,138,0,89,76,136,109,138,183,66,37
6,109,90,48,214,210,89,0,152,53,57,202,254,71,124
7,91,63,105,62,62,76,152,0,188,147,64,107,95,45
8,161,131,92,249,240,136,53,188,0,49,228,282,95,168
9,140,96,67,205,194,109,57,147,49,0,181,235,52,135
10,156,120,158,50,23,138,202,64,228,181,0,54,135,109
11,194,168,208,56,45,183,254,107,282,235,54,0,188,150
12,100,47,39,154,146,66,71,95,95,52,135,188,0,85
13,46,39,77,99,106,37,124,45,168,135,109,150,85,0
