Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,97,99,161,166,90,118,96,75,74,122,195,139,54,118,61,50,89,126,57,41,46,27,184
1,97,0,33,84,108,58,99,22,102,162,29,114,234,54,59,64,100,68,68,42,123,70,77,280
2,99,33,0,64,80,88,67,54,79,170,33,97,238,72,92,86,116,39,37,43,133,59,86,281
3,161,84,64,0,38,142,80,104,121,234,58,34,300,134,135,147,179,81,40,107,196,118,149,341
4,166,108,80,38,0,166,61,130,111,240,88,51,300,151,165,165,193,78,43,119,205,120,160,338
5,90,58,88,142,166,0,148,38,133,130,84,170,206,37,30,29,62,113,125,65,95,92,63,256
6,118,99,67,80,61,148,0,119,51,190,95,108,244,121,158,136,156,35,45,86,159,74,120,279
7,96,22,54,104,130,38,119,0,116,153,46,133,228,45,38,50,88,86,90,49,115,79,72,276
8,75,102,79,121,111,133,51,116,0,143,112,153,194,98,152,113,121,43,81,70,116,42,87,228
9,74,162,170,234,240,130,190,153,143,0,189,267,76,109,160,105,68,163,199,127,39,120,86,126
10,122,29,33,58,88,84,95,46,112,189,0,86,261,83,77,93,128,71,54,65,151,88,104,306
11,195,114,97,34,51,170,108,133,153,267,86,0,334,166,160,178,212,113,72,140,230,151,183,375
12,139,234,238,300,300,206,244,228,194,76,261,334,0,183,236,180,144,223,263,196,113,182,158,51
13,54,54,72,134,151,37,121,45,98,109,83,166,183,0,64,16,46,85,108,34,70,56,28,231
14,118,59,92,135,165,30,158,38,152,160,77,160,236,64,0,59,92,125,127,83,125,112,91,286
15,61,64,86,147,165,29,136,50,113,105,93,178,180,16,59,0,37,101,122,50,67,71,35,229
16,50,100,116,179,193,62,156,88,121,68,128,212,144,46,92,37,0,122,150,74,34,83,36,193
17,89,68,39,81,78,113,35,86,43,163,71,113,223,85,125,101,122,0,41,51,128,43,87,262
18,126,68,37,40,43,125,45,90,81,199,54,72,263,108,127,122,150,41,0,76,163,80,118,302
19,57,42,43,107,119,65,86,49,70,127,65,140,196,34,83,50,74,51,76,0,89,30,42,241
20,41,123,133,196,205,95,159,115,116,39,151,230,113,70,125,67,34,128,163,89,0,86,47,161
21,46,70,59,118,120,92,74,79,42,120,88,151,182,56,112,71,83,43,80,30,86,0,47,224
22,27,77,86,149,160,63,120,72,87,86,104,183,158,28,91,35,36,87,118,42,47,47,0,204
23,184,280,281,341,338,256,279,276,228,126,306,375,51,231,286,229,193,262,302,241,161,224,204,0
