Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,272,131,119,289,112,50,224,149,173,394,238,90,86,299,171
1,272,0,141,194,69,171,222,96,155,149,140,103,184,190,95,108
2,131,141,0,79,163,50,81,113,74,83,266,124,44,56,182,52
3,119,194,79,0,188,113,84,190,149,58,293,129,57,98,255,130
4,289,69,163,188,0,205,240,159,202,132,106,64,199,218,163,151
5,112,171,50,113,205,0,68,112,41,131,305,172,58,27,187,63
6,50,222,81,84,240,68,0,178,108,130,345,192,41,41,252,123
7,224,96,113,190,159,112,178,0,79,171,234,164,153,138,75,61
8,149,155,74,149,202,41,108,79,0,155,294,181,97,67,153,52
9,173,149,83,58,132,131,130,171,155,0,236,71,92,127,224,118
10,394,140,266,293,106,305,345,234,294,236,0,165,304,320,203,245
11,238,103,124,129,64,172,192,164,181,71,165,0,151,178,194,132
12,90,184,44,57,199,58,41,153,97,92,304,151,0,41,225,94
13,86,190,56,98,218,27,41,138,67,127,320,178,41,0,213,86
14,299,95,182,255,163,187,252,75,153,224,203,194,225,213,0,131
15,171,108,52,130,151,63,123,61,52,118,245,132,94,86,131,0
