Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0,102,273,361,462,212,93,405,236,77,289,180,143,96,196,184,177,263,197,344,253,67,270,427,366,107,373,352,197,61,130,223,156,248,291,267,166,398,128,348,237,312,356,213,319,212,108,321,234,295,85,409,152
1,102,0,184,309,365,141,156,306,196,126,192,205,55,102,170,99,124,182,157,282,167,159,208,327,292,51,272,257,95,70,137,155,134,236,190,169,74,314,87,247,136,237,271,125,233,207,210,220,191,249,181,317,168
2,273,184,0,176,198,243,341,145,139,250,53,380,190,282,163,200,120,29,295,134,222,309,91,178,119,223,152,84,131,216,208,77,295,384,120,166,111,130,157,114,86,73,87,60,49,366,374,156,317,150,358,137,344
3,361,309,176,0,282,408,449,257,125,302,225,513,337,409,168,361,188,154,451,46,395,365,103,296,94,358,304,207,295,301,241,155,440,538,295,342,246,149,236,267,259,105,146,204,154,513,436,328,478,67,440,205,477
4,462,365,198,282,0,361,517,59,320,448,173,534,349,449,354,336,318,219,425,241,316,505,260,55,188,390,121,114,281,410,406,272,442,508,196,254,297,133,355,124,231,207,145,254,165,501,568,193,431,301,545,78,499
5,212,141,243,408,361,0,203,306,315,262,216,181,87,134,301,48,245,257,64,371,54,278,306,310,362,107,243,281,113,207,277,257,93,148,167,108,167,362,222,239,158,314,322,203,287,140,306,172,74,359,261,342,152
6,93,156,341,449,517,203,0,458,326,169,346,95,170,72,288,196,262,337,162,429,255,134,354,475,445,127,414,412,237,148,223,303,118,181,330,289,230,470,213,395,286,390,428,281,389,144,120,351,194,384,67,473,80
7,405,306,145,257,59,306,458,0,275,392,115,476,291,391,305,279,265,169,369,213,263,448,217,39,164,332,76,62,223,353,353,221,385,453,140,200,239,117,300,67,172,168,111,198,120,446,510,143,378,265,487,62,441
8,236,196,139,125,320,315,326,275,0,178,191,395,235,292,45,267,72,111,348,118,316,241,60,311,158,246,292,213,211,177,117,69,330,431,248,277,148,207,114,253,194,115,178,126,156,403,312,287,380,58,315,246,360
9,77,126,250,302,448,262,169,392,178,0,280,257,180,168,134,224,135,233,261,293,293,64,223,420,324,157,375,334,213,56,61,184,225,322,300,291,160,363,93,344,239,272,325,195,291,287,135,335,299,235,141,385,228
10,289,192,53,225,173,216,346,115,191,280,0,372,182,281,210,180,160,82,275,180,186,334,145,141,154,221,103,68,115,238,246,125,282,363,70,125,124,146,188,66,62,120,107,86,76,349,395,103,291,203,372,130,336
11,180,205,380,513,534,181,95,476,395,257,372,0,192,104,362,197,326,384,120,487,234,229,413,486,494,158,420,440,257,224,305,360,92,95,338,286,274,510,281,410,310,440,467,325,429,62,210,350,138,451,158,502,37
12,143,55,190,337,349,87,170,291,235,180,182,192,0,100,216,45,163,196,114,305,114,206,235,305,306,43,244,249,68,124,190,182,106,201,160,125,91,318,135,226,120,253,276,137,238,178,248,183,145,283,211,312,155
