Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,50,47,105,135,72,56,75,95,84,129,71,99,46,105,87,43,146,63,27,50
1,50,0,84,104,144,34,40,63,46,59,127,25,122,32,64,89,28,165,76,22,49
2,47,84,0,78,96,113,102,122,127,130,100,96,55,60,146,61,88,101,36,65,97
3,105,104,78,0,43,137,141,165,127,163,24,96,52,73,162,18,126,75,44,102,145
4,135,144,96,43,0,177,179,202,170,202,34,139,45,112,205,55,164,36,73,138,180
5,72,34,113,137,177,0,26,41,38,28,159,45,155,66,33,123,30,199,110,48,42
6,56,40,102,141,179,26,0,24,64,28,164,61,150,68,54,125,15,196,107,41,16
7,75,63,122,165,202,41,24,0,79,21,188,83,172,92,56,149,39,218,130,64,25
8,95,46,127,127,170,38,64,79,0,62,145,33,157,68,41,117,62,197,112,68,79
9,84,59,130,163,202,28,28,21,62,0,185,73,176,90,35,148,42,221,132,67,39
10,129,127,100,24,34,159,164,188,145,185,0,116,63,96,183,42,150,70,68,126,168
11,71,25,96,96,139,45,61,83,33,73,116,0,124,36,66,85,52,165,79,45,73
12,99,122,55,52,45,155,150,172,157,176,63,124,0,91,186,47,135,47,45,110,148
13,46,32,60,73,112,66,68,92,68,90,96,36,91,0,95,58,53,134,45,30,73
14,105,64,146,162,205,33,54,56,41,35,183,66,186,95,0,150,62,228,140,81,69
15,87,89,61,18,55,123,125,149,117,148,42,85,47,58,150,0,110,80,26,85,127
16,43,28,88,126,164,30,15,39,62,42,150,52,135,53,62,110,0,181,92,26,21
17,146,165,101,75,36,199,196,218,197,221,70,165,47,134,228,80,181,0,89,155,194
18,63,76,36,44,73,110,107,130,112,132,68,79,45,45,140,26,92,89,0,66,107
19,27,22,65,102,138,48,41,64,68,67,126,45,110,30,81,85,26,155,66,0,43
20,50,49,97,145,180,42,16,25,79,39,168,73,148,73,69,127,21,194,107,43,0
