Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0,63,499,215,136,230,488,462,372,198,170,261,62,309,390,318,101,311,472,212,168,304,509,254,344,428,407,149,581,336,305,216,250
1,63,0,520,186,152,229,448,470,402,136,117,282,120,314,359,316,93,262,455,273,203,345,478,306,361,427,363,206,542,319,330,258,188
2,499,520,0,402,368,305,483,103,146,610,496,239,458,220,389,242,429,493,288,434,336,241,418,329,159,179,481,411,511,305,194,308,580
3,215,186,402,0,138,106,275,328,327,218,101,201,231,183,175,164,117,128,273,354,201,315,294,326,251,267,201,278,366,139,248,256,178
4,136,152,368,138,0,100,405,326,251,263,169,129,116,173,294,185,67,265,349,216,69,205,408,194,210,293,337,141,490,218,177,128,269
5,230,229,305,106,100,0,325,243,221,305,191,97,217,88,208,88,136,225,249,297,133,216,316,244,149,199,270,229,403,122,143,173,280
6,488,448,483,275,405,325,0,380,490,413,334,404,507,334,117,294,393,195,202,618,456,525,86,568,397,304,88,546,96,216,430,497,326
7,462,470,103,328,326,243,380,0,175,543,427,207,432,156,289,164,377,403,185,443,313,262,315,345,127,78,382,403,409,213,180,304,502
8,372,402,146,327,251,221,490,175,0,510,404,129,324,162,378,199,317,441,327,289,204,95,446,183,92,213,461,268,543,278,79,167,499
9,198,136,610,218,263,305,413,543,510,0,117,383,257,392,355,380,195,219,481,409,325,467,466,438,452,485,325,342,508,354,433,384,91
10,170,117,496,101,169,191,334,427,404,117,0,275,211,276,255,263,109,145,370,358,237,372,372,360,339,368,248,283,430,239,325,297,100
11,261,282,239,201,129,97,404,207,129,383,275,0,225,81,286,116,193,322,284,250,105,123,379,171,83,196,359,199,472,188,50,109,370
12,62,120,458,231,116,217,507,432,324,257,211,225,0,285,401,301,116,343,465,153,123,249,518,194,308,407,431,87,596,333,264,162,300
13,309,314,220,183,173,88,334,156,162,392,276,81,285,0,218,39,221,284,203,330,175,194,301,251,73,122,300,274,396,118,97,189,360
14,390,359,389,175,294,208,117,289,378,355,255,286,401,218,0,179,291,147,142,504,340,408,119,450,285,211,93,433,197,100,315,380,280
15,318,316,242,164,185,88,294,164,199,380,263,116,301,39,179,0,224,253,172,360,201,233,263,287,108,111,262,300,358,79,136,222,341
16,101,93,429,117,67,136,393,377,317,195,109,193,116,221,291,224,0,228,371,252,132,272,409,252,269,335,315,177,483,235,242,191,208
17,311,262,493,128,265,225,195,403,441,219,145,322,343,284,147,253,228,0,287,477,329,440,248,454,357,330,107,401,291,190,365,384,136
18,472,455,288,273,349,249,202,185,327,481,370,284,465,203,142,172,371,287,0,532,372,389,130,454,242,117,227,471,224,137,289,392,414
19,212,273,434,354,216,297,618,443,289,409,358,250,153,330,504,360,252,477,532,0,164,194,612,106,318,445,552,76,700,418,264,142,451
20,168,203,336,201,69,133,456,313,204,325,237,105,123,175,340,201,132,329,372,164,0,142,448,126,187,297,394,99,536,253,142,60,337
21,304,345,241,315,205,216,525,262,95,467,372,123,249,194,408,233,272,440,389,194,142,0,495,88,149,283,482,181,590,309,99,88,472
22,509,478,418,294,408,316,86,315,446,466,372,379,518,301,119,263,409,248,130,612,448,495,0,549,356,244,152,544,97,195,396,481,384
23,254,306,329,326,194,244,568,345,183,438,360,171,194,251,450,287,252,454,454,106,126,88,549,0,224,357,513,111,641,355,170,71,460
24,344,361,159,251,210,149,397,127,92,452,339,83,308,73,285,108,269,357,242,318,187,149,356,224,0,134,370,276,452,187,54,177,428
25,428,427,179,267,293,199,304,78,213,485,368,196,407,122,211,111,335,330,117,445,297,283,244,357,134,0,304,394,339,141,187,303,437
26,407,363,481,201,337,270,88,382,461,325,248,359,431,300,93,262,315,107,227,552,394,482,152,513,370,304,0,478,184,184,393,441,238
27,149,206,411,278,141,229,546,403,268,342,283,199,87,274,433,300,177,401,471,76,99,181,544,111,276,394,478,0,629,351,225,103,378
28,581,542,511,366,490,403,96,409,543,508,430,472,596,396,197,358,483,291,224,700,536,590,97,641,452,339,184,629,0,286,492,572,420
29,336,319,305,139,218,122,216,213,278,354,239,188,333,118,100,79,235,190,137,418,253,309,195,355,187,141,184,351,286,0,214,287,298
30,305,330,194,248,177,143,430,180,79,433,325,50,264,97,315,136,242,365,289,264,142,99,396,170,54,187,393,225,492,214,0,124,420
31,216,258,308,256,128,173,497,304,167,384,297,109,162,189,380,222,191,384,392,142,60,88,481,71,177,303,441,103,572,287,124,0,397
32,250,188,580,178,269,280,326,502,499,91,100,370,300,360,280,341,208,136,414,451,337,472,384,460,428,437,238,378,420,298,420,397,0
