Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,403,196,367,402,391,269,421,307,233,548,391,358,440,193,435,150
1,403,0,211,187,56,407,171,193,96,280,482,85,261,39,373,50,273
2,196,211,0,238,220,316,129,244,118,187,449,196,216,249,191,249,66
3,367,187,238,0,136,533,110,365,165,154,639,259,401,195,428,168,298
4,402,56,220,136,0,452,146,248,104,249,535,138,308,60,398,38,286
5,391,407,316,533,452,0,435,243,370,502,159,327,147,438,200,457,287
6,269,171,129,110,146,435,0,302,96,110,555,211,314,199,319,184,189
7,421,193,244,365,248,243,302,0,209,404,291,109,106,214,301,239,271
8,307,96,118,165,104,370,96,209,0,204,474,116,235,133,296,131,183
9,233,280,187,154,249,502,110,404,204,0,636,320,399,305,349,286,222
10,548,482,449,639,535,159,555,291,474,636,0,398,241,505,358,530,433
11,391,85,196,259,138,327,211,109,116,320,398,0,180,111,322,133,246
12,358,261,216,401,308,147,314,106,235,399,241,180,0,291,207,311,216
13,440,39,249,195,60,438,199,214,133,305,505,111,291,0,412,29,312
14,193,373,191,428,398,200,319,301,296,349,358,322,207,412,0,419,132
15,435,50,249,168,38,457,184,239,131,286,530,133,311,29,419,0,313
16,150,273,66,298,286,287,189,271,183,222,433,246,216,312,132,313,0
