Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0,121,458,158,399,233,269,118,173,196,81,397,341,209,43,461,294,108,49,380,279,391,69,446,164,122,359,317,167,411,275,531,75,223,402,296
1,121,0,347,202,382,114,181,154,55,76,134,397,228,106,113,349,184,58,170,315,162,354,60,325,181,100,238,324,134,319,155,412,165,200,286,276
2,458,347,0,434,384,276,206,411,292,294,423,435,281,249,431,314,164,351,500,223,266,316,389,210,393,355,159,417,328,120,203,110,466,331,261,343
3,158,202,434,0,255,303,229,48,224,267,81,243,420,217,120,539,288,146,153,284,351,264,154,494,42,109,390,163,110,350,308,530,91,114,471,162
4,399,382,384,255,0,429,256,282,365,409,319,55,527,317,357,624,326,331,406,161,466,68,365,542,236,293,437,101,250,264,387,494,344,184,553,107
5,233,114,276,303,429,0,182,257,79,38,243,456,118,113,227,238,138,159,282,321,49,385,173,213,272,194,137,394,208,288,74,319,278,265,173,332
6,269,181,206,229,256,182,0,206,138,171,221,291,271,79,235,370,74,162,305,141,212,205,204,297,187,154,189,245,122,142,132,302,264,132,299,172
7,118,154,411,48,282,257,206,0,179,221,38,278,375,180,77,495,257,99,126,284,306,280,106,454,46,65,352,199,84,338,269,501,67,115,428,181
8,173,55,292,224,365,79,138,179,0,46,168,387,196,59,158,316,130,83,221,278,128,328,107,280,194,115,186,321,131,270,102,358,206,192,249,263
9,196,76,294,267,409,38,171,221,46,0,206,432,154,94,189,275,143,123,245,312,87,369,136,250,239,159,167,367,178,291,92,347,240,238,210,308
10,81,134,423,81,319,243,221,38,168,206,0,316,360,181,40,481,263,86,93,313,293,315,78,448,83,68,350,236,103,358,265,508,43,148,416,217
11,397,397,435,243,55,456,291,278,387,432,316,0,560,344,355,661,364,342,397,212,496,122,371,584,234,301,478,80,263,316,421,545,334,197,590,124
12,341,228,281,420,527,118,271,375,196,154,360,560,0,220,340,121,206,276,390,398,69,475,287,129,389,312,124,504,323,338,140,281,393,375,65,437
13,209,106,249,217,317,113,79,180,59,94,181,344,220,0,183,332,85,103,252,219,153,274,141,278,180,116,173,284,109,214,92,327,223,156,261,219
14,43,113,431,120,357,227,235,77,158,189,40,355,340,183,0,462,268,80,70,340,275,349,53,437,122,83,344,276,127,376,259,509,53,181,399,253
15,461,349,314,539,624,238,370,495,316,275,481,661,121,332,462,0,297,397,510,481,189,566,409,104,507,431,188,611,439,402,243,268,514,486,71,541
16,294,184,164,288,326,138,74,257,130,143,263,364,206,85,268,297,0,188,337,193,154,270,225,223,248,196,114,320,178,150,70,244,306,203,227,247
17,108,58,351,146,331,159,162,99,83,123,86,342,276,103,80,397,188,0,149,282,208,309,43,363,123,43,266,268,82,304,181,429,124,148,331,225
18,49,170,500,153,406,282,305,126,221,245,93,397,390,252,70,510,337,149,0,405,329,406,114,495,171,152,407,316,194,446,323,576,62,240,452,307
19,380,315,223,284,161,321,141,284,278,312,313,212,398,219,340,481,193,282,405,0,346,93,324,391,247,258,293,207,213,104,262,333,351,171,413,141
20,279,162,266,351,466,49,212,306,128,87,293,496,69,153,275,189,154,208,329,346,0,417,222,170,320,243,113,437,255,299,85,293,327,308,124,372
21,391,354,316,264,68,385,205,280,328,369,315,122,475,274,349,566,270,309,406,93,417,0,347,480,236,275,378,139,229,196,335,426,346,168,496,102
22,69,60,389,154,365,173,204,106,107,136,78,371,287,141,53,409,225,43,114,324,222,347,0,384,142,73,293,295,118,346,209,463,105,182,346,259
23,446,325,210,494,542,213,297,454,280,250,448,584,129,278,437,104,223,363,495,391,170,480,384,0,457,389,108,542,387,305,186,168,486,423,72,469
24,164,181,393,42,236,272,187,46,194,239,83,234,389,180,122,507,248,123,171,247,320,236,142,457,0,81,352,155,71,310,271,489,110,75,438,136
25,122,100,355,109,293,194,154,65,115,159,68,301,312,116,83,431,196,43,152,258,243,275,73,389,81,0,287,226,46,294,203,441,111,109,363,186
26,359,238,159,390,437,137,189,352,186,167,350,478,124,173,344,188,114,266,407,293,113,378,293,108,352,287,0,434,281,219,85,182,390,315,120,361
27,317,324,417,163,101,394,245,199,321,367,236,80,504,284,276,611,320,268,316,207,437,139,295,542,155,226,434,0,192,305,368,526,254,129,540,75
28,167,134,328,110,250,208,122,84,131,178,103,263,323,109,127,439,178,82,194,213,255,229,118,387,71,46,281,192,0,256,201,420,145,67,369,143
29,411,319,120,350,264,288,142,338,270,291,358,316,338,214,376,402,150,304,446,104,299,196,346,305,310,294,219,305,256,0,217,230,400,239,338,234
30,275,155,203,308,387,74,132,269,102,92,265,421,140,92,259,243,70,181,323,262,85,335,209,186,271,203,85,368,201,217,0,257,305,243,172,299
31,531,412,110,530,494,319,302,501,358,347,508,545,281,327,509,268,244,429,576,333,293,426,463,168,489,441,182,526,420,230,257,0,550,432,237,451
32,75,165,466,91,344,278,264,67,206,240,43,334,393,223,53,514,306,124,62,351,327,346,105,486,110,111,390,254,145,400,305,550,0,182,451,246
33,223,200,331,114,184,265,132,115,192,238,148,197,375,156,181,486,203,148,240,171,308,168,182,423,75,109,315,129,67,239,243,432,182,0,415,77
34,402,286,261,471,553,173,299,428,249,210,416,590,65,261,399,71,227,331,452,413,124,496,346,72,438,363,120,540,369,338,172,237,451,415,0,470
35,296,276,343,162,107,332,172,181,263,308,217,124,437,219,253,541,247,225,307,141,372,102,259,469,136,186,361,75,143,234,299,451,246,77,470,0
