Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249
0,0,2,4,15,12,17,2,5,14,14,27,9,12,19,17,13,5,11,7,8,9,30,23,9,11,10,12,4,14,17,2,13,4,29,17,54,36,41,35,55,32,66,32,26,19,59,28,25,8,4,8,6,10,12,11,14,16,14,12,2,5,4,14,15,15,14,24,13,12,53,38,47,43,14,57,43,22,27,12,9,18,28,29,2,3,2,4,5,6,6,10,9,14,13,12,13,6,7,8,13,13,14,15,15,15,16,15,14,13,12,17,14,25,21,11,9,8,11,18,8,21,5,15,12,26,31,20,8,10,5,12,12,13,13,13,12,12,30,5,17,28,38,23,16,10,10,30,27,14,19,28,29,27,28,29,29,18,31,14,10,22,6,4,6,15,34,29,32,5,6,3,5,6,7,8,8,8,7,7,7,5,26,8,9,10,8,9,10,23,9,10,10,8,8,7,10,8,47,41,6,11,8,7,23,6,11,23,33,7,6,11,5,7,8,17,23,22,35,35,65,51,26,25,28,30,31,21,19,25,29,30,33,20,30,30,32,34,27,32,42,30,29,29,4,11,6,7,9,11,6
1,2,0,4,13,12,16,3,4,14,14,26,8,12,18,16,12,3,10,5,7,9,30,23,7,9,10,12,3,13,16,2,11,2,28,15,52,35,39,33,54,30,64,30,24,18,58,26,23,7,4,6,6,9,12,10,12,14,13,10,3,5,4,16,17,17,16,26,15,14,52,36,46,41,12,56,42,20,25,14,11,20,30,29,3,5,4,6,6,8,6,12,11,16,15,14,15,7,8,10,15,15,16,17,16,17,17,16,16,15,14,19,16,26,22,12,10,9,13,20,10,22,6,17,13,28,33,22,10,12,7,14,14,15,15,15,14,14,32,6,19,30,39,25,17,12,12,32,29,16,21,30,31,29,30,31,31,20,33,16,12,23,7,6,8,17,36,31,33,7,8,5,7,8,9,10,10,10,9,9,9,7,25,10,11,12,10,11,12,22,11,12,12,10,10,9,12,10,45,40,8,13,10,9,25,8,13,25,31,6,4,10,3,5,6,15,21,20,34,33,63,49,24,23,26,28,29,19,17,23,27,28,31,18,28,28,30,32,25,30,40,32,31,31,5,13,8,9,11,13,8
2,4,4,0,12,9,14,2,2,11,10,23,6,8,15,13,9,5,9,8,4,5,26,20,9,8,6,9,3,10,13,2,10,4,26,15,50,33,38,32,52,30,64,30,24,17,56,27,25,11,7,10,9,13,15,13,15,18,17,14,6,8,7,16,17,17,16,25,14,12,50,36,44,41,12,54,40,19,24,12,9,18,28,26,5,5,3,4,4,6,2,10,10,14,14,13,14,3,5,7,15,15,16,17,17,18,18,17,16,15,14,18,13,23,20,8,6,11,10,19,10,18,2,17,14,26,31,21,8,12,5,14,14,15,16,16,15,15,31,8,19,28,36,23,13,8,13,30,28,13,21,28,29,28,29,29,30,17,31,17,10,21,4,7,9,17,33,30,30,6,7,5,6,8,8,9,9,8,9,8,8,6,28,9,10,10,10,10,11,25,11,12,12,10,10,9,13,11,43,37,7,12,8,7,25,7,12,24,32,4,4,8,6,6,6,17,23,20,33,33,63,48,26,26,28,30,31,22,21,25,28,29,34,22,29,30,31,33,26,29,40,31,30,30,3,12,9,6,8,11,7
3,15,13,12,0,8,3,14,10,8,10,16,6,10,12,10,6,10,5,12,8,8,23,16,9,4,9,9,11,5,7,13,2,12,15,5,39,22,26,20,41,19,52,18,13,5,45,19,19,19,16,16,18,19,21,19,17,19,20,16,16,19,17,28,29,29,28,37,26,23,39,24,33,29,4,43,29,8,12,23,19,28,38,27,16,17,15,16,15,17,11,22,21,25,25,24,25,12,14,16,27,27,28,29,29,29,30,29,28,27,25,30,23,31,30,13,14,22,21,30,22,21,13,28,25,36,41,33,19,23,16,26,26,27,28,28,27,27,41,19,31,39,43,35,19,17,25,40,40,21,33,39,40,39,40,40,41,26,39,29,21,30,15,18,21,29,40,41,35,18,19,17,18,20,20,21,21,20,20,20,19,17,26,20,21,22,21,22,23,26,22,24,24,22,22,21,25,22,32,27,18,24,19,19,36,19,24,36,23,8,9,5,13,9,7,14,19,9,22,21,51,36,20,22,21,24,22,23,20,18,20,21,30,24,21,22,23,25,17,17,28,41,41,41,14,24,20,17,19,22,19
4,12,12,9,8,0,8,11,8,2,3,15,7,2,7,5,2,10,9,14,5,3,19,11,12,5,3,1,9,3,5,10,7,11,18,12,42,26,32,26,44,26,58,25,20,13,48,27,26,19,15,17,17,20,23,21,21,23,23,19,14,17,16,23,24,23,23,30,20,17,43,32,37,35,11,46,34,14,19,16,13,22,31,20,13,14,11,11,10,12,7,16,15,18,19,19,18,7,8,10,21,22,23,24,24,25,26,25,23,22,20,24,17,23,23,6,7,19,14,24,17,14,9,22,21,29,34,28,13,19,11,21,21,22,23,24,23,22,34,17,25,33,35,28,11,11,21,33,34,14,27,32,33,32,33,33,34,19,31,24,15,23,9,15,18,25,32,34,28,13,14,13,14,15,15,16,16,15,15,15,14,13,32,15,16,17,16,17,18,31,18,19,19,18,17,17,21,19,35,29,14,18,14,13,31,14,18,30,31,7,8,3,13,10,9,20,25,17,29,28,57,41,27,28,28,31,30,28,25,25,28,28,36,28,29,30,31,33,24,23,35,35,34,34,10,19,17,11,14,17,14
5,17,16,14,3,8,0,16,12,7,10,12,8,10,11,8,6,13,8,15,10,9,20,13,12,7,10,9,13,4,5,15,6,14,12,7,36,19,25,18,38,19,51,17,13,6,42,21,21,22,19,19,21,22,24,22,21,22,24,19,19,21,20,30,31,30,30,38,27,25,36,24,30,27,7,40,26,7,12,24,20,29,39,25,19,19,17,18,17,19,13,23,22,26,27,26,26,14,16,17,28,29,29,31,31,32,32,31,30,29,27,32,24,30,31,14,15,25,22,31,24,20,15,30,27,37,42,35,20,25,18,27,28,29,30,30,29,29,42,22,32,40,42,36,18,18,27,41,41,22,34,40,40,39,40,41,41,26,39,31,22,30,16,21,23,31,39,42,34,20,21,19,20,22,22,23,23,22,22,21,21,19,29,22,23,24,23,24,25,30,24,26,26,24,24,23,27,25,29,24,20,26,21,20,38,21,25,37,24,10,12,6,16,12,10,17,21,9,21,20,50,34,22,24,23,26,24,26,24,20,22,22,32,27,23,24,25,26,18,16,27,42,42,42,16,26,23,18,21,24,20
6,2,3,2,14,11,16,0,4,13,13,26,9,10,17,15,11,6,11,8,7,8,28,22,10,10,8,11,4,13,16,1,12,4,28,17,53,36,40,34,54,32,66,32,26,19,58,28,26,9,6,9,8,11,14,12,15,17,16,13,4,6,6,14,15,15,14,24,12,11,53,38,47,43,14,56,43,21,26,11,8,17,27,27,2,3,1,3,3,5,4,9,8,13,13,12,12,5,6,7,13,13,14,15,15,15,16,15,14,13,12,17,13,23,19,9,8,8,10,17,8,19,3,15,11,25,30,19,7,9,4,12,12,13,14,14,13,13,29,6,17,27,36,22,14,9,11,29,26,13,19,27,28,26,28,28,29,17,30,14,9,20,4,4,7,15,32,28,30,4,5,3,4,6,6,7,7,7,7,6,6,4,28,7,8,9,8,9,10,25,9,10,10,8,8,7,11,8,46,40,5,11,7,6,23,5,10,22,34,6,5,10,6,8,8,18,24,22,35,35,65,50,27,26,29,31,32,22,20,26,29,31,34,21,30,31,32,35,28,31,42,29,29,28,2,10,6,6,7,10,6
7,5,4,2,10,8,12,4,0,10,10,22,4,8,15,13,8,3,7,7,3,5,26,19,7,6,6,8,2,9,12,3,8,3,24,13,49,32,36,30,50,28,62,28,22,15,54,25,23,11,7,9,9,12,15,13,14,16,16,12,7,9,8,18,19,19,18,28,16,15,49,34,42,39,10,52,38,17,22,14,11,20,30,27,6,7,5,6,6,8,4,13,12,16,16,15,16,5,7,9,17,17,18,19,19,20,20,19,18,17,16,21,15,25,23,9,8,12,12,21,12,19,4,19,16,29,33,24,10,14,7,16,16,17,18,18,17,17,33,9,21,31,38,26,15,10,15,32,30,15,23,31,31,30,31,32,32,19,33,19,12,23,6,8,11,19,35,32,32,8,9,7,9,10,10,11,11,11,11,10,10,8,26,11,12,13,12,13,14,24,13,14,14,12,12,11,15,12,42,36,9,15,10,10,27,9,14,26,30,2,1,6,5,4,4,15,21,18,31,31,60,46,24,24,26,28,28,21,19,22,26,27,32,21,27,28,29,31,24,27,38,33,32,32,5,14,10,8,11,13,9
8,14,14,11,8,2,7,13,10,0,3,13,8,4,5,2,3,12,11,16,7,5,16,9,14,7,5,2,12,3,3,12,9,13,16,13,41,24,31,25,42,26,57,25,20,13,46,27,26,21,18,19,20,22,25,23,23,25,25,21,17,19,18,25,26,25,24,31,22,19,41,31,36,34,11,44,32,14,19,18,14,23,32,19,16,16,13,13,12,14,9,18,17,20,21,20,20,9,10,11,23,24,24,26,26,27,28,27,25,24,22,26,18,23,24,7,9,21,15,25,19,13,11,24,22,30,35,29,15,21,13,22,23,24,25,26,25,24,35,19,27,34,35,29,11,12,23,34,35,15,28,33,34,33,34,34,35,19,32,26,17,23,11,17,20,27,32,36,27,15,16,15,16,17,17,18,17,17,17,17,16,14,33,16,17,18,18,19,19,32,19,21,21,20,19,19,23,21,34,27,15,20,16,15,32,16,20,31,31,9,10,5,15,12,11,21,26,17,28,27,56,40,28,29,29,32,30,29,27,26,28,29,37,30,29,30,31,33,25,23,34,36,35,35,12,20,19,13,15,18,15
9,14,14,10,10,3,10,13,10,3,0,13,10,3,4,3,4,13,12,17,7,6,16,9,15,8,4,2,12,6,5,12,11,13,18,15,42,26,34,27,43,29,60,27,23,15,48,29,29,21,18,20,20,23,25,23,24,26,26,22,16,19,18,23,24,23,23,29,20,17,43,34,38,36,14,46,35,17,21,16,12,21,30,17,15,15,13,13,11,13,8,16,15,18,19,18,18,8,9,10,21,22,23,24,24,25,26,25,24,22,20,24,16,21,22,5,7,20,14,23,18,11,10,22,21,27,32,28,13,19,12,21,22,23,24,24,23,23,33,18,25,32,33,27,9,10,22,32,33,13,27,31,31,31,31,32,32,17,29,25,15,21,10,16,19,25,30,33,25,14,15,14,15,16,16,17,16,15,16,15,15,13,35,15,16,17,16,17,18,34,18,20,20,19,18,17,22,19,35,28,14,18,14,14,31,15,18,29,34,9,11,6,16,13,12,23,28,19,30,30,59,42,30,31,31,34,33,31,28,28,31,31,39,31,32,33,33,35,27,25,37,33,33,33,11,19,18,12,14,17,14
