Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0,169,455,311,529,122,469,353,257,276,366,67,287,330,395,393,353,521,516,429,429,472,202,455,464,143,400,221,193
1,169,0,299,144,362,97,300,202,107,162,197,115,125,219,236,234,250,374,377,263,295,363,118,309,326,119,259,54,80
2,455,299,0,209,122,341,147,103,282,202,139,390,174,373,62,241,190,88,116,78,98,193,271,57,92,406,85,246,337
3,311,144,209,0,233,232,161,150,77,196,73,259,86,171,153,98,263,296,315,146,252,346,208,244,273,217,213,100,142
4,529,362,122,233,0,426,85,202,309,308,165,468,244,363,154,212,310,167,209,102,220,308,367,175,207,450,205,308,376
5,122,97,341,232,426,0,376,238,204,154,270,55,183,312,282,326,232,401,395,324,308,352,80,335,343,168,280,132,167
6,469,300,147,161,85,376,0,183,233,283,106,412,195,279,142,127,309,222,258,80,240,338,329,204,239,377,213,249,302
7,353,202,103,150,202,238,183,0,210,106,106,288,83,321,49,220,129,172,178,108,104,196,169,108,129,315,64,153,252
8,257,107,282,77,309,204,233,210,0,223,149,216,130,124,224,137,304,368,384,223,314,401,208,312,338,144,275,92,70
9,276,162,202,196,308,154,283,106,223,0,189,209,110,347,155,288,88,251,241,212,154,203,75,185,189,280,130,136,236
10,366,197,139,73,165,270,106,106,149,189,0,307,90,235,91,115,234,227,250,74,197,296,226,181,212,286,160,145,212
11,67,115,390,259,468,55,412,288,216,209,307,0,225,308,330,348,288,454,449,367,362,407,136,388,397,139,333,163,162
12,287,125,174,86,244,183,195,83,130,110,90,225,0,248,112,179,179,252,261,142,185,270,136,190,212,233,147,72,169
13,330,219,373,171,363,312,279,321,124,347,235,308,248,0,323,152,426,462,484,301,423,516,330,414,443,188,384,215,147
14,395,236,62,153,154,282,142,49,224,155,91,330,112,323,0,203,167,145,162,63,108,208,217,91,122,344,74,184,276
15,393,234,241,98,212,326,127,220,137,288,115,348,179,152,203,0,346,327,356,164,311,411,306,290,323,277,275,196,206
16,353,250,190,263,310,232,309,129,304,88,234,288,179,426,167,346,0,206,183,230,105,119,153,150,137,367,105,221,323
17,521,374,88,296,167,401,222,172,368,251,227,454,252,462,145,327,206,0,43,163,102,154,325,66,69,486,121,324,420
18,516,377,116,315,209,395,258,178,384,241,250,449,261,484,162,356,183,43,0,193,87,114,316,72,52,493,118,330,430
19,429,263,78,146,102,324,80,108,223,212,74,367,142,301,63,164,230,163,193,0,162,262,267,131,166,358,133,209,285
20,429,295,98,252,220,308,240,104,314,154,197,362,185,423,108,311,105,102,87,162,0,100,229,47,35,412,39,250,353
21,472,363,193,346,308,352,338,196,401,203,296,407,270,516,208,411,119,154,114,262,100,0,272,135,102,481,136,327,431
22,202,118,271,208,367,80,329,169,208,75,226,136,136,330,217,306,153,325,316,267,229,272,0,259,264,225,204,118,198
23,455,309,57,244,175,335,204,108,312,185,181,388,190,414,91,290,150,66,72,131,47,135,259,0,35,423,55,261,359
24,464,326,92,273,207,343,239,129,338,189,212,397,212,443,122,323,137,69,52,166,35,102,264,35,0,442,67,280,381
25,143,119,406,217,450,168,377,315,144,280,286,139,233,188,344,277,367,486,493,358,412,481,225,423,442,0,375,163,74
26,400,259,85,213,205,280,213,64,275,130,160,333,147,384,74,275,105,121,118,133,39,136,204,55,67,375,0,213,315
27,221,54,246,100,308,132,249,153,92,136,145,163,72,215,184,196,221,324,330,209,250,327,118,261,280,163,213,0,104
28,193,80,337,142,376,167,302,252,70,236,212,162,169,147,276,206,323,420,430,285,353,431,198,359,381,74,315,104,0
