49053,180279,"49025,49021"
49031,1438,"49055,49041,49017,49001"
49043,42357,"49051,49013,49009,49035,49029,49033"
49015,9825,"49007,49055,49019,49039,49041"
49009,935,"49043,49013,49047"
49001,7072,"49041,49017,49031,49021,49027"
49047,35620,"49013,49007,49009,49019"
49049,659399,"49051,49013,49007,49035,49039,49023,49045"
49055,2486,"49037,49015,49041,49017,49031"
49023,11786,"49049,49039,49045,49027"
49007,20412,"49049,49013,49047,49019,49015,49039"
49021,57289,"49025,49017,49053,49001"
49039,28437,"49049,49007,49015,49041,49023,49027"
49037,14518,"49055,49019,49025,49017"
49051,34788,"49049,49043,49013,49035"
49019,9669,"49007,49047,49037,49015"
49045,72698,"49049,49035,49023,49011,49003"
49033,2510,"49043,49057,49005,49029"
49005,133154,"49057,49033,49003"
49013,19596,"49051,49049,49043,49007,49009,49047"
49011,362679,"49035,49057,49029,49045"
49003,57666,"49057,49005,49045"
49027,12975,"49039,49041,49001,49023"
49029,12295,"49043,49035,49057,49033,49011"
49057,262223,"49005,49029,49033,49011,49003"
49025,7667,"49037,49017,49053,49021"
49035,1185238,"49051,49049,49043,49029,49045,49011"
49041,21522,"49055,49015,49039,49001,49031,49027"
49017,5083,"49037,49055,49025,49001,49031,49021"
