Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,178,102,78,106,46,96,171,42,78,56,41,124,46
1,178,0,196,158,73,143,111,31,211,203,122,217,61,178
2,102,196,0,41,147,79,86,206,83,31,114,124,137,56
3,78,158,41,0,106,43,48,166,78,46,76,111,98,38
4,106,73,147,106,0,77,67,66,141,144,50,145,36,114
5,46,143,79,43,77,0,50,143,68,69,35,86,84,37
6,96,111,86,48,67,50,0,121,114,94,61,136,51,75
7,171,31,206,166,66,143,121,0,208,208,116,208,71,180
8,42,211,83,78,141,68,114,208,0,53,92,42,153,40
9,78,203,31,46,144,69,94,208,53,0,104,94,142,35
10,56,122,114,76,50,35,61,116,92,104,0,95,71,70
11,41,217,124,111,145,86,136,208,42,94,95,0,165,73
12,124,61,137,98,36,84,51,71,153,142,71,165,0,118
13,46,178,56,38,114,37,75,180,40,35,70,73,118,0
