Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0,253,176,205,170,284,121,203,190,325,256,223,326,150,361,199,158,127,105,224,255,141,175
1,253,0,95,282,95,536,341,426,195,565,462,91,507,378,491,448,408,379,197,352,365,192,334
2,176,95,0,192,82,459,249,333,110,500,413,51,470,317,474,362,334,296,103,329,275,170,240
3,205,282,192,0,261,408,163,212,87,484,450,195,526,341,567,284,312,250,123,428,83,307,91
4,170,95,82,261,0,448,274,361,187,472,367,124,414,285,405,369,320,297,147,263,339,101,289
5,284,536,459,408,448,0,246,217,442,103,197,503,265,182,368,127,128,167,371,323,399,381,323
6,121,341,249,163,274,246,0,87,202,321,304,283,385,199,446,125,153,89,147,324,172,262,86
7,203,426,333,212,361,217,87,0,273,311,332,363,415,240,491,93,172,117,230,384,184,344,122
8,190,195,110,87,187,442,202,273,0,504,445,108,514,339,539,327,330,276,85,395,170,253,158
9,325,565,500,484,472,103,321,311,504,0,141,548,186,187,294,217,174,233,425,289,486,389,405
10,256,462,413,450,367,197,304,332,445,141,0,464,83,109,172,249,160,221,361,150,476,274,390
11,223,91,51,195,124,503,283,363,108,548,464,0,521,367,523,401,380,338,137,379,278,218,259
12,326,507,470,526,414,265,385,415,514,186,83,521,0,187,109,331,242,303,430,162,556,315,470
13,150,378,317,341,285,182,199,240,339,187,109,367,187,0,251,173,77,123,255,155,369,205,283
14,361,491,474,567,405,368,446,491,539,294,172,523,109,251,0,416,321,374,457,145,610,305,525
15,199,448,362,284,369,127,125,93,327,217,249,401,331,173,416,0,97,73,265,327,272,326,197
16,158,408,334,312,320,128,153,172,330,174,160,380,242,77,321,97,0,64,252,232,324,257,239
17,127,379,296,250,297,167,89,117,276,233,221,338,303,123,374,73,64,0,204,268,260,253,175
18,105,197,103,123,147,371,147,230,85,425,361,137,430,255,457,265,252,204,0,314,195,184,142
19,224,352,329,428,263,323,324,384,395,289,150,379,162,155,145,327,232,268,314,0,478,162,396
20,255,365,275,83,339,399,172,184,170,486,476,278,556,369,610,272,324,260,195,478,0,374,87
21,141,192,170,307,101,381,262,344,253,389,274,218,315,205,305,326,257,253,184,162,374,0,305
22,175,334,240,91,289,323,86,122,158,405,390,259,470,283,525,197,239,175,142,396,87,305,0
